,1
Sylpheed version 0.7.4 (GTK+ 1.2.10; i386-debian-linux-gnu),16
The Bat! (v2.04.7),23
QUALCOMM Windows Eudora Version 5.0,451
QUALCOMM Windows Eudora Version 5.1,1621
Mozilla 4.76 [en] (Win98; U),4
IncrediMail 2001 (1850912),1
"Lotus Notes Release 5.0.6a  January 17, 2001",1
Mutt/1.4i (Linux 2.4.22-openmosix i686),10
Internet Messaging Program (IMP) 3.2.1,1
The Bat! (v2.00.6) Business,14
IdOLA Webmail 1.0.a (http,1
CBN WebMail Version Beta 1,4
CBN WebMail Version 1.0,4
Ximian Evolution 1.4.5-4mdk,171
Mozilla/5.0 (Windows; U; Windows NT 5.1; ja-JP; rv,11
nPOPw Ver. 1.0.1.3,1
Netindo Teknologi (http,12
CommuniGate Pro WebUser Interface v.4.1.3,5
CommuniGate Pro WebUser Interface v.4.1.5,1
CommuniGate Pro WebUser Interface v.4.1.6,24
CommuniGate Pro WebUser Interface v.4.1.8,3
QUALCOMM Windows Eudora Version 6.1.1.1,142
Sylpheed version 0.9.5claws (GTK+ 1.3.0; Win32),8
Do you really want to know ...?,14
Sylpheed version 0.9.6 (GTK+ 1.2.10; i586-pc-linux-gnu),171
NeoMail 1.25,1
Ximian Evolution 1.4.6 (1.4.6-2),50
Sylpheed version 0.9.4 (GTK+ 1.2.10; i386-redhat-linux-gnu),1
Sylpheed version 0.8.10 (GTK+ 1.2.10; powerpc-apple-darwin6.0),72
The Bat! (v2.00.6),1
nggak sucks,22
Microsoft Outlook Express 6.00.2720.3000,41
CommuniGate Pro Web Mailer v.4.0.6,139
SquirrelMail/1.4.0-1,7
Microsoft Outlook Express 6.00.2800.1158<br><br>,1
Internet Mail Service (5.5.2655.55),1
KMail [version 1.3.1],2
Ultrafunk Popcorn release 1.67b4 (19-March-2004),4
Opera7.11/Win32 M2 build 2887,1
Mutt/1.4i (Linux 2.4.21-charlize i686),42
Mutt/1.5.5.1i (Linux 2.6.6-lavender i686),4
Mutt/1.5.6i (Linux 2.6.6-lavender i686),6
The Bat! (v2.0 Beta/1),26
8.0 for Windows sub 6014,1
Mutt/1.4.1i (Linux 2.6.1 i686),2
The Bat! (v2.11.02) UNREG / CD5BF9353B3B7091,2
The Bat! (v1.63 Beta/11),26
Mozilla 4.79 [en] (Windows NT 5.0; U),5
CommuniGate Pro Web Mailer v.4.0,54
QUALCOMM Windows Eudora Version 4.3.2,1
Microsoft Outlook Express 6.00.2800.1106,285
IncrediMail 2001 (2001155.2001155),7
Microsoft Internet Mail 4.70.1161,1
SquirrelMail/1.4.2,20
The Bat! (v1.60h) UNREG / CD5BF9353B3B7091,120
SquirrelMail/1.4.0,180
KMail/1.6,473
"Lotus Notes Release 5.0.8  June 18, 2001",5
sori... nggak lewat calo ....,1
The Bat! (v1.60h)         CD5BF9353B3B7091,34
The Bat! (v1.62r),84
QUALCOMM Windows Eudora Version 5.1.1,291
CentrinWebMail/1.4.2,2
The Bat! (v1.60h) Personal,72
Denshin 8 Go V32.1.3.1,2
Open WebMail 1.81 20021203,1
The Bat! (v2.10.03) UNREG / CD5BF9353B3B7091,2
"Microsoft Outlook, Build 10.0.3416",3
Mutt/1.5.5.1i (Linux 2.6.4-ck1 i686),18
Sylpheed version 0.8.9 (GTK+ 1.2.10; i386-redhat-linux-gnu),10
The Bat! (v2.00)         CD5BF9353B3B7091,23
The Bat! (v2.11.02),1
Mutt/1.5.6i (Linux 2.6.4-ck1 i686),6
Sylpheed version 0.6.4 (GTK+ 1.2.8; i686-pc-linux-gnu),14
"Lotus Notes Release 5.0.11   July 24, 2002",1
Ximian Evolution 1.4.4-8mdk,193
Mutt/1.4.1i (Linux 2.4.22-1.2115.nptl i686),2
The Bat! (v1.63 Beta/10),2
QUALCOMM Windows Eudora Version 6.1.0.6,93
Ultrafunk Popcorn release 1.58 (09-Dec-2003),3
The Bat! (v1.62i) UNREG / CD5BF9353B3B7091,96
webmail.idola.net.id,1
Sylpheed version 0.9.2 (GTK+ 1.2.10; powerpc-apple-darwin6.6),42
SquirrelMail/1.4.1,250
Sylpheed version 0.9.5claws (GTK+ 1.2.10; i386-redhat-linux-gnu),8
Windows Eudora Light Version 1.5.4 (32),447
Mozilla Thunderbird 0.6 (Windows/20040502),132
SquirrelMail (version 1.2.10),6
The Bat! (v2.0 Beta/5) Business,2
Mozilla Thunderbird 0.5 (Windows/20040207),254
The Bat! (v1.62 Christmas Edition) Personal,3
"Microsoft Outlook IMO, Build 9.0.6604 (9.0.2911.0)",2
"Microsoft Outlook IMO, Build 9.0.2416 (9.0.2910.0)",12
The Bat! (v1.63 Beta/8),2
Mutt/1.4i (Linux 2.4.21-lavender i686),108
Sylpheed version 0.9.0claws (GTK+ 1.2.10; i386-unknown-openbsd3.3),113
"Microsoft Office Outlook, Build 11.0.5510",18
The Bat! (v1.62r) Personal,134
The Bat! (v1.53d),4
QUALCOMM Windows Eudora Version 6.0.0.22,474
Internet Mail Service (5.5.2650.21),4
Mutt/1.4i,236
"Lotus Notes Release 6.0 September 26, 2002",1
The Bat! (v1.47 Halloween Edition) Personal,2
Microsoft Outlook Express 5.00.2919.6700,15
Sylpheed version 0.9.0claws (GTK+ 1.2.10; i386-unknown-openbsd3.4),6
Eudora 2.1 for PalmOS,1
Microsoft Outlook Express 5.50.4807.1700,8
Mutt/1.5.4i (Linux 2.4.20-8 i686),97
Sylpheed version 0.8.11claws (GTK+ 1.3.0; Win32),2
Mozilla 4.78 [en] (Win98; U),4
Mutt/1.4.1i (Linux 2.4.23-ck1 i686),10
Ximian Evolution 1.4.3,33
Internet Messaging Program (IMP) 3.1,58
QUALCOMM Windows Eudora Version 5.2.0.9,642
Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv,1755
Sylpheed version 0.9.10claws (GTK+ 1.2.10; i386-redhat-linux-gnu),22
Ximian Evolution 1.2.4-1.1mdk,7
Mutt 1.0.1i,30
QUALCOMM Windows Eudora Version 5.0.2,197
The Bat! (v1.61) UNREG / CD5BF9353B3B7091,170
Mozilla/5.0 (X11; U; OpenBSD i386; en-US; rv,2
SquirrelMail (version 1.2.8),73
Sylpheed version 0.9.10claws (GTK+ 1.2.10; i386-unknown-openbsd3.4),28
QUALCOMM Windows Eudora Version 5.2.1,1245
Mutt/1.5.4i (OpenBSD 3.4 i386),13
"Matt, you don't want to know. Do you?",470
Mutt/1.4i (Linux 2.4.22-lavender i686),34
MailCity Service,3
Product Development RADNET 2002,4
Microsoft Outlook Express 6.00.2479.0001,5
"Lotus Notes Release 5.0.5  September 22, 2000",1
"SnapperMail 1.7.3.01  by Snapperfish, www.snappermail.com",4
Net-Mail 1.0,12
Calypso Version 3.30.00.00 (4),108
Mutt/1.5.4i (Linux 2.4.22-lavender i686),10
QUALCOMM Windows Eudora Version 6.1.2.0,55
Ximian Evolution 1.4.0,26
Ximian Evolution 1.4.6,8
Ximian Evolution 1.4.4,82
Ximian Evolution 1.4.5,88
JMail 4.1.2 Free Version by Dimac,2
Mozilla Thunderbird 0.7 (Windows/20040616),5
Mutt/1.5.4i,30
Microsoft Outlook Express 6.00.2800.1158,15
Ximian Evolution 1.3.92 (Preview Release),44
Sylpheed version 0.9.6claws (GTK+ 1.3.0; Win32),1
SquirrelMail (version 1.2.5),12
Sylpheed version 0.9.7claws (GTK+ 1.2.10; i386-redhat-linux-gnu),5
"Microsoft Outlook, Build 10.0.2627",6
QUALCOMM Windows Eudora Version 6.0.0.9 (Beta),291
IncrediMail 2001 (1850934),1
QUALCOMM Windows Eudora Version 6.0.1.1,298
Microsoft Outlook Express 5.00.2919.6600,4
Balsa 2.0.12,1
Mutt/1.2.5.1i,50
Balsa 2.0.15,1
Internet Mail Service (5.5.2653.19),13
Sylpheed version 0.9.0claws11 (GTK+ 1.3.0; Win32),1
QUALCOMM Windows Eudora Version 6.1.0.5 (Beta),85
Ximian Evolution 1.0.3 (1.0.3-6),1
The Bat! (v2.01),2
eGroups-EW/0.82,1726
"SnapperMail 1.5.1 Build 2  by Snapperfish, www.snappermail.com",1
Microsoft Outlook Express 5.00.2615.200,193
Internet Mail Service (5.5.2656.59),2
The Bat! (v1.62q),72
The Bat! (v2.00.18)         CD5BF9353B3B7091,212
QUALCOMM Windows Eudora Version 6.0.0.12 (Beta),401
Ximian Evolution 1.4.5 (1.4.5-7),68
Microsoft Outlook Express 5.00.2314.1300,12
KMail/1.4.3,1
Internet Messaging Program (IMP) 3.2.2 / FreeBSD-5.1,77
CoreBSD Mailer,1
Mutt/1.4.2i,24
QUALCOMM Windows Eudora Version 6.0.3.0,111
AtMail Corp 3.64 - http,3
QUALCOMM Windows Eudora Version 6.1.0.3 (Beta),38
SquirrelMail (version 1.2.11),22
Yahoo Groups Message Poster,1725
Microsoft Outlook Express 5.50.4927.1200,1
KMail/1.6.2,246
CentrinWebMail,2
Ximian Evolution 1.2.2 (1.2.2-5),16
Mutt/1.5.6i (Linux 2.6.6-mh1 i686),2
IncrediMail 2001 (2001107.2001107),1
Mutt/1.4.1i (Linux 2.6.2-ck1 i686),2
Mutt/1.4i (Linux 2.6.0-test6-mm4 i686),10
Mutt/1.4.1i (Linux 2.6.3-ck1 i686),10
Pegasus Mail for Windows (v4.01),2
Microsoft Outlook Express 5.50.4133.2400,1033
WinNT's Blat ver 1.9.4 http,125
Mutt/1.4i (Linux 2.4.21-0.13mdk-lavender i686),22
Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv,370
Pegasus Mail for Windows (v4.12a),3
Mozilla/5.0 (X11; U; Linux i686; en-US; rv,767
oMail 0.98.4 - http,2
Mail,1
Mutt/1.5.4i (Linux 2.6.0-test9-mm2 i686),20
Microsoft Outlook Express 6.00.2600.0000,126
eGroups Message Poster,1
"Blat v2.2, a Win32 SMTP/NNTP mailer http",158
MIME-tools 5.41 (Entity 5.404),1
Mozilla Thunderbird 0.5 (X11/20040229),30
The Bat! (v2.01.26)         CD5BF9353B3B7091,8
The Bat! (v2.00) Business,1
PowerMail - http,21
The Bat! (v2.04.7) UNREG / CD5BF9353B3B7091,10
Mutt/1.4.1i,318
Sylpheed version 0.7.4claws (GTK+ 1.2.10; i386-debian-linux-gnu),15
KMail/1.5,1405
"Microsoft Outlook IMO, Build 9.0.2416 (9.0.2911.0)",6
The Bat! (v1.61),67
Lotus Notes Release 5.0.2c (Intl) 2 February 2000,1
Mozilla 4.75 [en] (Win98; U),1
Mutt/1.4.1i (Linux 2.4.21-0.13mdk-lavender i686),40
Sylpheed version 0.8.11 (GTK+ 1.2.10; i686-pc-linux-gnu),49
"SnapperMail 1.8.1.01  by Snapperfish, www.snappermail.com",9
PHP/4.3.4,1
The Bat! (v1.62i) Personal,150
PHP/4.3.2,1
The Bat! (v1.63 Beta/7),78
Mutt/1.4.1i (Linux 2.4.22-ck2 i686),14
Mozilla 4.79 [en] (Win98; U),1
Sylpheed version 0.9.10claws (GTK+ 1.2.10; i686-suse-linux),1
The Bat! (v2.11.02) Personal,1
IncrediMail 2001 (1800828),1
"Microsoft Outlook, Build 10.0.4024",17
"Microsoft Outlook, Build 10.0.2616",45
Mozilla/5.0 (Windows; U; Win98; en-US; rv,85
QUALCOMM Windows Eudora Version 6.0.2.0,32
KMail/1.5.4,723
The Bat! (v2.00.6)         CD5BF9353B3B7091,156
Mutt/1.4.1i (Linux 2.6.0-test9-mm3 i686),32
The Bat! (v2.04.4) Personal,61
"Lotus Notes Release 5.0.9  November 16, 2001",1
IncrediMail 2001 (2001180),1
QUALCOMM Windows Eudora Version 6.0.0.20 (Beta),166
KMail/1.5.3,6
Sylpheed version 0.9.10claws (GTK+ 1.3.0; Win32),26
"Microsoft Outlook CWS, Build 9.0.2416 (9.0.2910.0)",4
